time,head_acceleration
2.4,0
2.6,-1.3
3.2,-2.7
6.2,-2.7
6.6,-2.7
7.8,-2.7
8.2,-2.7
8.8,-2.7
9.6,-2.7
10.2,-5.4
11.4,0
13.8,0
14.6,-13.3
14.6,-5.4
14.6,-5.4
14.6,-22.8
15.4,-22.8
15.4,-32.1
15.4,-53.5
15.4,-54.9
15.6,-40.2
15.8,-21.5
15.8,-50.8
16,-42.9
16,-26.8
16.6,-59
17.8,-99.1
18.6,-112.5
18.6,-50.8
19.4,-85.6
19.4,-72.3
21.2,-134
21.8,-108.4
22,-123.1
23.2,-123.1
23.4,-128.5
24,-112.5
24.2,-95.1
24.6,-53.5
25,-57.6
26,-5.4
26.4,-65.6
27,-16
27.2,-45.6
27.2,-24.2
28.4,37.5
28.6,46.9
31,75
33.4,16
33.8,45.6
34.4,1.3
35.2,-16
35.6,34.8
35.6,32.1
38,10.7
40.4,-13.3
41.6,-10.7
41.6,30.8
42.8,0
42.8,-10.7
45,10.7
47.8,-26.8
47.8,-14.7
48.8,-13.3
50.6,0
55.4,-2.7
57.6,10.7
